fid,NH4,X,Y,licence
439,2.3,406521.169670355,5814333.9050697,dl-de/by-2-0 
440,20.2,409320.03547,5814597.78072032,Umweltatlas Berlin / Grundwassergüte Ammonium (Umweltatlas)
441,0.3,410321.629058867,5814605.77130679,http://www.stadtentwicklung.berlin.de/umwelt/umweltatlas/ia204.htm
442,4.1,408804.246194432,5814824.6918101,
443,2.5,409049.146833655,5814829.68826984,
444,11.3,408701.288414654,5814895.66364815,
445,16.1,408843.2308193,5814897.66195684,
446,3,409022.15839431,5814927.6486834,
447,12,408865.222181021,5814942.64356948,
448,24.4,408729.277381131,5814948.64197064,
449,31,408880.216261654,5814969.63252039,
450,3.1,408974.178130101,5814970.63153429,
451,10.6,409493.96725999,5814982.62346598,
452,6.4,408894.210737268,5814995.62188396,
453,27,408755.267139274,5814996.6223405,
454,27.7,408769.261639605,5815026.61008006,
455,21.3,408864.223225853,5815047.60097642,
456,11,408782.256503717,5815048.60108158,
457,27,408417.404577825,5815049.60293623,
458,40.8,408894.211572653,5815130.56711614,
459,65.7,408731.277794092,5815145.56204479,
460,57.8,408632.318082508,5815166.55414169,
461,36.1,408928.198189601,5815197.53973236,
463,53.4,408221.48738672,5815585.38670859,
464,0.3,408746.2756945,5815794.29866962,
466,27.4,407980.587686802,5815997.22105938,
468,0.2,407299.867682455,5816602.97940673,
469,0.2,408649.320210594,5816632.95892644,
746,4.96735,408478.57935065,5815169.77770326,
747,0.2295,408147.451353217,5815529.03058694,
750,60.272,408078.12295065,5815248.38309403,
751,11.35128,407314.247786967,5815144.92119494,
752,4.19643,406995.537484302,5814790.02392478,
753,1.85165,406656.179328617,5814716.48542161,
754,5.29593,407184.587307868,5813794.54823879,
758,96.105,408209.924126305,5815869.80104386,
759,13.68027,408428.538108484,5814325.8325823,
760,2.4848,407935.848997809,5813655.28178771,
761,18.24133,407765.007455787,5814977.37000199,
762,1.61118,409106.848507929,5813768.00451739,
763,0.09141,408148.893969795,5814027.18603457,
764,0.46225,408962.768072457,5812973.84208836,
765,0.22436,406513.870994881,5814331.23682901,
766,14.61633,408218.896023276,5813080.9705136,
767,0.11756,408721.043209478,5814880.20271474,
772,27.52,408191.618996091,5815012.25364335,
773,0.09872,408619.228245144,5815941.00845098,
774,58.518,408132.459400772,5815792.28365093,
775,24.17933,409040.27292952,5813474.30666799,
776,42.54188,408262.111501269,5815774.82017566,
777,37.274,407667.263251504,5814464.29053823,
778,18.77429,407554.211683457,5813724.52920283,
779,0.36212,408808.934039028,5815716.4283936,
780,0.96087,408527.90338997,5815870.75382322,
781,0.06925,408753.299817885,5815840.47111912,
846,0.17875,408646.517289165,5815974.32623302,
847,0.02,408678.905085334,5816126.76416415,
848,7.69327,408618.330557174,5816271.20592532,
849,0.04515,408801.055795209,5816172.34490761,
850,9.9975,408992.714071364,5815075.01278511,
883,38.71933,407838.314794748,5815256.9422128,
884,9.41357,407313.612386768,5814533.00662152,
885,0.24296,406888.87017404,5813860.16273316,
886,1.60093,407330.316091096,5815148.61520769,
