T_C,P_MPa,spinel,orthopyroxene,olivine,feldspar,clinopyroxene,biotite
1222.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1217.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1212.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1207.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1202.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1197.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1192.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1187.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1182.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1177.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1172.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1167.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1162.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1157.27,1000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1152.27,1000,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1147.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1142.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1137.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1132.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1127.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1122.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1117.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1112.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1107.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1102.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1097.27,1000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1092.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1087.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1082.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1077.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1072.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1067.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1062.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1057.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1052.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1047.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1042.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1037.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1032.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1027.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1022.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1017.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1012.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1007.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
1002.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
997.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
992.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
987.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
982.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
977.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
972.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
967.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
962.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
957.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
952.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
947.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
942.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
937.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
932.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
927.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
922.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
917.27,1000,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
912.27,1000,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
907.27,1000,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
902.27,1000,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
1229.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1224.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1219.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1214.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1209.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1204.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1199.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1194.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1189.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1184.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1179.88,2000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1174.88,2000,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1169.88,2000,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1164.88,2000,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
1159.88,2000,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
