P_MPa,T_C,Combeite,Corundum,Magnetite,Melanite,Nepheline,Pyroxene
300,800,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
200,800,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
100,800,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
300,750,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
200,750,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
100,750,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
300,700,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
200,700,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
100,700,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
300,650,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
200,650,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
100,650,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
