X,Y,Z,licence
402040,5735960,62.1602118,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0
402140,5735960,62.61700896,http://www.govdata.de/dl-de/by-2-0
402240,5735960,63.04169436,
402340,5735960,63.4743422,
402440,5735960,63.9457378,
402540,5735960,64.38744532,
402640,5735960,64.87928892,
402740,5735960,65.409054,
402840,5735960,65.95888824,
402940,5735960,66.4058542,
403040,5735960,66.88671504,
403140,5735960,67.26639432,
403240,5735960,67.61206064,
403340,5735960,67.96378088,
403440,5735960,68.24749236,
403540,5735960,68.56220908,
403640,5735960,68.92351192,
403740,5735960,69.18198048,
403840,5735960,69.40668372,
403940,5735960,69.63106872,
404040,5735960,69.79289032,
404140,5735960,69.78203004,
404240,5735960,69.64445428,
404340,5735960,69.43879,
404440,5735960,69.1749076,
404540,5735960,68.8676334,
404640,5735960,68.55009096,
404740,5735960,68.22626948,
404840,5735960,67.94177512,
404940,5735960,67.72612264,
405040,5735960,67.564579,
405140,5735960,67.44188044,
405240,5735960,67.34187712,
405340,5735960,67.25619812,
405440,5735960,67.16999452,
405540,5735960,67.05709688,
405640,5735960,66.9170938,
405740,5735960,66.78491264,
405840,5735960,66.68804904,
405940,5735960,66.63141868,
406040,5735960,66.60826304,
406140,5735960,66.61090332,
406240,5735960,66.63024508,
406340,5735960,66.65718296,
406440,5735960,66.68558876,
406540,5735960,66.712742,
406640,5735960,66.73755952,
406740,5735960,66.76047268,
406840,5735960,66.78241772,
406940,5735960,66.80185768,
407040,5735960,66.80938324,
407140,5735960,66.79249576,
407240,5735960,66.73141632,
407340,5735960,66.60145748,
407440,5735960,66.40886688,
407540,5735960,66.2034804,
407640,5735960,66.03641456,
407740,5735960,65.93540312,
407840,5735960,65.92529016,
407940,5735960,66.00727288,
408040,5735960,66.05889224,
408140,5735960,66.06128328,
408240,5735960,66.09897856,
408340,5735960,66.17575276,
408440,5735960,66.2877668,
408540,5735960,66.43037116,
408640,5735960,66.6098154,
408740,5735960,66.84020264,
408840,5735960,67.11702984,
408940,5735960,67.41916444,
409040,5735960,67.73510264,
409140,5735960,67.99008004,
409240,5735960,68.08316252,
409340,5735960,68.02009948,
409440,5735960,67.83649832,
409540,5735960,67.5546276,
409640,5735960,67.19905452,
409740,5735960,66.90626496,
409840,5735960,66.67909516,
409940,5735960,66.47504452,
410040,5735960,66.27216984,
410140,5735960,66.0688022,
410240,5735960,65.87458528,
410340,5735960,65.68172116,
410440,5735960,65.48861784,
410540,5735960,65.28558168,
410640,5735960,65.07267064,
410740,5735960,64.86080604,
410840,5735960,64.65732768,
410940,5735960,64.48385804,
411040,5735960,64.35049616,
411140,5735960,64.25957556,
411240,5735960,64.2015796,
411340,5735960,64.16236112,
411440,5735960,64.12923076,
411540,5735960,64.09246408,
411640,5735960,64.0451564,
411740,5735960,63.98253968,
411840,5735960,63.89894456,
411940,5735960,63.78688588,
412040,5735960,63.704,
402040,5735860,62.05317664,
402140,5735860,62.47755276,
402240,5735860,62.88089672,
402340,5735860,63.3267296,
402440,5735860,63.78104976,
402540,5735860,64.25626684,
402640,5735860,64.75443016,
402740,5735860,65.284028,
402840,5735860,65.82930364,
402940,5735860,66.3448824,
403040,5735860,66.82318884,
403140,5735860,67.2350946,
403240,5735860,67.59261236,
403340,5735860,67.8884228,
403440,5735860,68.21994228,
403540,5735860,68.590785,
403640,5735860,68.93242036,
403740,5735860,69.29307832,
403840,5735860,69.63114288,
403940,5735860,69.90297944,
404040,5735860,70.08678368,
404140,5735860,70.0778018,
404240,5735860,69.9485416,
404340,5735860,69.77261736,
404440,5735860,69.53277896,
404540,5735860,69.23011228,
404640,5735860,68.89828304,
404740,5735860,68.56341948,
404840,5735860,68.2639236,
404940,5735860,68.02360452,
405040,5735860,67.84657508,
405140,5735860,67.72414884,
405240,5735860,67.6287606,
405340,5735860,67.536351,
405440,5735860,67.43342624,
405540,5735860,67.31134408,
405640,5735860,67.17159756,
405740,5735860,67.03165072,
405840,5735860,66.92327216,
405940,5735860,66.85990564,
406040,5735860,66.83681676,
406140,5735860,66.84353404,
406240,5735860,66.86913324,
406340,5735860,66.89796816,
406440,5735860,66.92554596,
406540,5735860,66.95344628,
406640,5735860,66.98078124,
406740,5735860,67.00818904,
406840,5735860,67.03741732,
406940,5735860,67.06363776,
407040,5735860,67.07084044,
407140,5735860,67.0516788,
407240,5735860,66.99622188,
407340,5735860,66.87029792,
407440,5735860,66.66588772,
407540,5735860,66.44677456,
407640,5735860,66.2677558,
407740,5735860,66.15473512,
407840,5735860,66.12285548,
407940,5735860,66.16283172,
408040,5735860,66.20326928,
408140,5735860,66.23484976,
408240,5735860,66.28164888,
408340,5735860,66.355828,
408440,5735860,66.45734164,
408540,5735860,66.58684876,
408640,5735860,66.7534802,
408740,5735860,66.97454132,
408840,5735860,67.26249936,
408940,5735860,67.58080648,
409040,5735860,67.86921632,
409140,5735860,68.0858814,
409240,5735860,68.1939328,
409340,5735860,68.16348948,
409440,5735860,68.03472656,
409540,5735860,67.81933164,
409640,5735860,67.52877836,
409740,5735860,67.24388536,
409840,5735860,67.00522312,
409940,5735860,66.78984768,
410040,5735860,66.58230164,
410140,5735860,66.38228092,
410240,5735860,66.18675968,
410340,5735860,65.99174076,
410440,5735860,65.7963034,
410540,5735860,65.58430144,
410640,5735860,65.35587732,
410740,5735860,65.1217352,
410840,5735860,64.90019164,
410940,5735860,64.70931828,
411040,5735860,64.5592412,
411140,5735860,64.47143796,
411240,5735860,64.44024528,
411340,5735860,64.44011472,
411440,5735860,64.44412388,
411540,5735860,64.43569948,
411640,5735860,64.40798432,
411740,5735860,64.3595462,
411840,5735860,64.28746276,
411940,5735860,64.18391664,
412040,5735860,64.1028662,
402040,5735760,61.85535432,
402140,5735760,62.27018048,
402240,5735760,62.70114948,
402340,5735760,63.14622824,
402440,5735760,63.60400488,
402540,5735760,64.08065772,
402640,5735760,64.59063416,
402740,5735760,65.1106776,
402840,5735760,65.66448212,
402940,5735760,66.20549496,
403040,5735760,66.70258116,
403140,5735760,67.1296978,
403240,5735760,67.50455132,
403340,5735760,67.80056084,
403440,5735760,68.13447024,
403540,5735760,68.54142996,
403640,5735760,68.9235126,
403740,5735760,69.33951908,
403840,5735760,69.7418736,
403940,5735760,70.03631468,
404040,5735760,70.2225754,
404140,5735760,70.26097624,
404240,5735760,70.18765864,
404340,5735760,70.05623196,
404440,5735760,69.87070004,
404540,5735760,69.60220096,
404640,5735760,69.26268732,
404740,5735760,68.91251464,
404840,5735760,68.59754708,
404940,5735760,68.34913876,
405040,5735760,68.16603356,
405140,5735760,68.03756864,
405240,5735760,67.94102292,
405340,5735760,67.84183528,
405440,5735760,67.72724516,
405540,5735760,67.59314872,
405640,5735760,67.44834384,
405740,5735760,67.30679044,
405840,5735760,67.18893728,
405940,5735760,67.11016452,
406040,5735760,67.07373564,
406140,5735760,67.06935,
406240,5735760,67.08784848,
406340,5735760,67.11386624,
406440,5735760,67.14697908,
406540,5735760,67.18882136,
406640,5735760,67.2385538,
406740,5735760,67.29630912,
406840,5735760,67.34937216,
406940,5735760,67.37218472,
407040,5735760,67.34749056,
407140,5735760,67.27856136,
407240,5735760,67.184979,
407340,5735760,67.05241676,
407440,5735760,66.85403464,
407540,5735760,66.64661344,
407640,5735760,66.4836972,
407740,5735760,66.38172184,
407840,5735760,66.34089784,
407940,5735760,66.34440928,
408040,5735760,66.36603728,
408140,5735760,66.40036036,
408240,5735760,66.45104344,
408340,5735760,66.5221972,
408440,5735760,66.61259656,
408540,5735760,66.72632748,
408640,5735760,66.87877292,
408740,5735760,67.09958648,
408840,5735760,67.38418236,
408940,5735760,67.67841128,
409040,5735760,67.92665608,
409140,5735760,68.11785372,
409240,5735760,68.23166688,
409340,5735760,68.24669556,
409440,5735760,68.17941312,
409540,5735760,68.03107208,
409640,5735760,67.80984024,
409740,5735760,67.57112008,
409840,5735760,67.340471,
409940,5735760,67.12035632,
410040,5735760,66.90478488,
410140,5735760,66.69924712,
410240,5735760,66.502572,
